                             stationName                              | reprocessingEfficiency | reprocessingStationsTake |                                                                                                                                     string_agg                                                                                                                                     
 Ebasez VIII - Moon 4 - Kaalakiota Corporation Factory                |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Pashanai IV - Moon 18 - TransStellar Shipping Storage                |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Noranim IV - Moon 16 - Royal Amarr Institute School                  |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Assez VIII - Moon 21 - Theology Council Tribunal                     |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Galnafsad V - Moon 7 - Core Complexion Inc. Warehouse                |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Antem VI - Moon 7 - Ministry of Internal Order Assembly Plant        |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Simela IV - Moon 7 - Sisters of EVE Academy                          |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Madomi V - Moon 6 - Ministry of War Information Center               |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Chej VI - Ministry of Internal Order Assembly Plant                  |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Heorah VII - Moon 2 - Kaalakiota Corporation Factory                 |                    0.3 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Paintshop,Fitting,Gambling,Laboratory,Factory,Repair Facilities,DNA Therapy,Surgery,Cloning,Stock Exchange,Black Market,Market,Refinery,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Nasreri III - Moon 1 - Kaalakiota Corporation Factory                |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Manatirid VII - Moon 8 - Ministry of War Archives                    |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Simela VI - Moon 2 - Poteque Pharmaceuticals Biotech Research Center |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Laboratory,DNA Therapy,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Shapisin II - Core Complexion Inc. Factory                           |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Heorah V - Moon 7 - Amarr Trade Registry Bureau Offices              |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Naka VI - Moon 2 - Amarr Trade Registry Bureau Offices               |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Ahbazon VIII - Moon 2 - Carthum Conglomerate Warehouse               |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Yulai III - Moon 1 - Secure Commerce Commission Depository           |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Pashanai IV - Moon 4 - Amarr Constructions Production Plant          |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Korridi I - Imperial Shipment Storage                                |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Pamah IV - Moon 10 - Civic Court Tribunal                            |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Kemerk V - Moon 10 - CONCORD Bureau                                  |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Gonditsa IV - Moon 8 - Aliastra Retail Center                        |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Paintshop,Fitting,Repair Facilities,DNA Therapy,Surgery,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Ziasad IX - Moon 3 - Genolution Biotech Production                   |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,DNA Therapy,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Chamja VI - Moon 7 - Core Complexion Inc. Storage                    |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Pashanai V - Moon 12 - Civic Court Accounting                        |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Korridi III - Aliastra Retail Center                                 |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Paintshop,Fitting,Repair Facilities,DNA Therapy,Surgery,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Habu VIII - Moon 1 - Quafe Company Factory                           |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Diaderi IX - Moon 16 - Amarr Constructions Warehouse                 |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Assez X - Moon 1 - Amarr Civil Service Bureau Offices                |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Antem VI - Moon 6 - Ministry of Internal Order Logistic Support      |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Pashanai III - Moon 2 - Amarr Navy Assembly Plant                    |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Habu V - Quafe Company Retail Center                                 |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Paintshop,Fitting,Repair Facilities,DNA Therapy,Surgery,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Chiga III - Moon 15 - Pend Insurance Vault                           |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Sibe VI - Moon 1 - Genolution Biotech Production                     |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,DNA Therapy,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Mozzidit VIII - Ministry of Internal Order Logistic Support          |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Serren VIII - Moon 15 - Amarr Civil Service Information Center       |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Azedi V - Moon 1 - Imperial Academy                                  |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Gayar IV - Moon 1 - Amarr Trade Registry Bureau Offices              |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Nasreri VII - Moon 4 - Amarr Trade Registry Bureau Offices           |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Heorah VII - Kaalakiota Corporation Factory                          |                    0.3 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Paintshop,Fitting,Gambling,Laboratory,Factory,Repair Facilities,DNA Therapy,Surgery,Cloning,Stock Exchange,Black Market,Market,Refinery,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Cleyd IV - Moon 6 - Carthum Conglomerate Factory                     |                    0.3 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Paintshop,Fitting,Gambling,Laboratory,Factory,Repair Facilities,DNA Therapy,Surgery,Cloning,Stock Exchange,Black Market,Market,Refinery,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Ahbazon IX - Moon 11 - Carthum Conglomerate Production Plant         |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Tar III - Secure Commerce Commission Depository                      |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Gonditsa IV - Moon 7 - Core Complexion Inc. Storage                  |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Ahbazon IX - Moon 15 - Imperial Shipment Storage                     |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Yulai VIII - Moon 12 - DED Logistic Support                          |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Gergish IX - Moon 10 - Wiyrkomi Corporation Factory                  |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Habu V - Moon 2 - Zoar and Sons Factory                              |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Malma VI - TransStellar Shipping Storage                             |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Simela III - Aliastra Warehouse                                      |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Yulai VIII - Moon 10 - CONCORD Logistic Support                      |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Malma I - TransStellar Shipping Storage                              |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Menai V - Ministry of Internal Order Logistic Support                |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Menai V - Moon 22 - Freedom Extension Storage                        |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Diaderi VII - Moon 3 - Amarr Constructions Production Plant          |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Itrin V - Moon 7 - Aliastra Warehouse                                |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Tahli III - Moon 5 - Wiyrkomi Corporation Factory                    |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Antem VIII - Moon 18 - Ministry of Internal Order Assembly Plant     |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Habu V - Moon 13 - Zoar and Sons Factory                             |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Sheroo X - Moon 5 - Zoar and Sons Factory                            |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Zoohen VII - Core Complexion Inc. Factory                            |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Itrin V - Moon 2 - Amarr Trade Registry Information Center           |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Djimame VIII - Moon 2 - Amarr Civil Service Bureau Offices           |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Itrin V - Moon 19 - Aliastra Retail Center                           |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Paintshop,Fitting,Repair Facilities,DNA Therapy,Surgery,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Petidu IX - Moon 8 - Freedom Extension Storage                       |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Heorah VI - Moon 14 - The Scope Publisher                            |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Gambling,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Antem VI - Amarr Civil Service Bureau Offices                        |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Menai IV - Moon 9 - Freedom Extension Warehouse                      |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Angur IV - Moon 2 - Inherent Implants Biotech Production             |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,DNA Therapy,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Lor VII - Moon 7 - Imperial Shipment Storage                         |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Malma X - Moon 2 - TransStellar Shipping Storage                     |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Keri VIII - Moon 3 - Imperial Shipment Storage                       |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Ashokon XII - Moon 2 - Zoar and Sons Factory                         |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Habu V - Moon 12 - Pend Insurance Depository                         |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Angur III - Moon 1 - Inherent Implants Biotech Production            |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,DNA Therapy,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Anara VIII - Moon 8 - Ministry of Internal Order Logistic Support    |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Sharza VII - Moon 3 - Emperor Family Bureau                          |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Chej VI - Moon 2 - Amarr Trade Registry Bureau Offices               |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Sheroo VII - X-Sense Chemical Refinery                               |                   0.35 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Laboratory,Factory,Repair Facilities,Market,Refinery,Reprocessing Plant,Courier Missions,Bounty Missions
 Pashanai III - Moon 9 - Ministry of War Bureau Offices               |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Anzalaisio V - Moon 10 - Quafe Company Factory                       |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Sharza VI - Moon 4 - Emperor Family Bureau                           |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Sheroo X - Moon 11 - X-Sense Chemical Refinery                       |                   0.35 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Laboratory,Factory,Repair Facilities,Market,Refinery,Reprocessing Plant,Courier Missions,Bounty Missions
 Alal VII - Moon 17 - Theology Council Tribunal                       |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Azedi II - Hedion University                                         |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Saphthar IX - Moon 16 - Aliastra Warehouse                           |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Asanot VI - Moon 17 - Quafe Company Factory                          |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Kobam VIII - Moon 2 - Wiyrkomi Corporation Factory                   |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Heorah VI - Moon 17 - The Scope Development Studio                   |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Gambling,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Djimame VI - Moon 1 - Amarr Civil Service Bureau Offices             |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Olin IV - Moon 3 - Aliastra Warehouse                                |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Pashanai III - Moon 9 - Amarr Certified News Development Studio      |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Gambling,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Tekaima V - Moon 9 - CONCORD Assembly Plant                          |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Zarer VI - Moon 10 - Genolution Biotech Production                   |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,DNA Therapy,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Aring IX - Moon 5 - Freedom Extension Storage                        |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Tarta IX - Moon 14 - DED Assembly Plant                              |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Nardiarang VI - The Scope Development Studio                         |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Gambling,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Galnafsad VI - Moon 1 - Core Complexion Inc. Factory                 |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
